"동별(1)",동별(2),동별(3),2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,소계,4481533,9601000,4621963,4979037,9335495,4507664,4827831,265505,114299,151206
"합계",종로구,소계,72230,149943,71501,78442,138577,66673,71904,11366,4828,6538
"합계",종로구,사직동,4582,9266,4130,5136,9011,3978,5033,255,152,103
"합계",종로구,삼청동,1105,2452,1188,1264,2220,1067,1153,232,121,111
"합계",종로구,부암동,4127,9329,4380,4949,9045,4239,4806,284,141,143
"합계",종로구,평창동,7130,17443,8095,9348,17239,7988,9251,204,107,97
"합계",종로구,무악동,2991,7897,3622,4275,7869,3607,4262,28,15,13
"합계",종로구,교남동,4299,9715,4483,5232,9553,4392,5161,162,91,71
"합계",종로구,가회동,1881,3899,1835,2064,3795,1779,2016,104,56,48
"합계",종로구,종로1.2.3.4가동,4910,8594,4941,3653,6673,4007,2666,1921,934,987
"합계",종로구,종로5.6가동,3536,5850,3055,2795,5297,2782,2515,553,273,280
"합계",종로구,이화동,4347,7528,3478,4050,7003,3270,3733,525,208,317
"합계",종로구,창신1동,2637,5416,2848,2568,4486,2350,2136,930,498,432
"합계",종로구,창신2동,3902,8577,4409,4168,7342,3779,3563,1235,630,605
"합계",종로구,창신3동,2732,6455,3195,3260,6235,3070,3165,220,125,95
"합계",종로구,숭인1동,2995,6085,2918,3167,5745,2779,2966,340,139,201
"합계",종로구,숭인2동,6908,11078,5185,5893,10082,4905,5177,996,280,716
"합계",종로구,청운효자동,4958,11197,5113,6084,11072,5045,6027,125,68,57
"합계",종로구,혜화동,9190,19162,8626,10536,15910,7636,8274,3252,990,2262
"합계",중구,소계,65120,131678,63174,68504,120931,58247,62684,10747,4927,5820
"합계",중구,소공동,1254,3503,1721,1782,2185,1015,1170,1318,706,612
"합계",중구,회현동,2491,5012,2607,2405,4328,2256,2072,684,351,333
"합계",중구,명동,1329,3369,1474,1895,2527,1041,1486,842,433,409
"합계",중구,필동,2789,5427,2651,2776,4349,2216,2133,1078,435,643
"합계",중구,장충동,2858,5482,2754,2728,4538,2352,2186,944,402,542
"합계",중구,광희동,3957,7124,3446,3678,5749,2827,2922,1375,619,756
"합계",중구,을지로동,2113,3458,1838,1620,3095,1665,1430,363,173,190
"합계",중구,신당5동,5418,10468,5047,5421,10112,4901,5211,356,146,210
"합계",중구,황학동,7839,13952,6519,7433,13071,6149,6922,881,370,511
"합계",중구,중림동,5965,12446,6062,6384,12098,5906,6192,348,156,192
"합계",중구,신당동,4689,8836,4210,4626,7383,3580,3803,1453,630,823
"합계",중구,다산동,6721,13509,6524,6985,13043,6319,6724,466,205,261
"합계",중구,약수동,7721,16228,7472,8756,15992,7355,8637,236,117,119
"합계",중구,청구동,5988,12836,6025,6811,12602,5921,6681,234,104,130
"합계",중구,동화동,3988,10028,4824,5204,9859,4744,5115,169,80,89
"합계",용산구,소계,103335,217470,104707,112763,204079,97628,106451,13391,7079,6312
"합계",용산구,후암동,8256,16288,7851,8437,15807,7607,8200,481,244,237
"합계",용산구,용산2가동,4972,10159,4945,5214,8704,4271,4433,1455,674,781
"합계",용산구,남영동,4819,7285,4401,2884,6754,4122,2632,531,279,252
"합계",용산구,원효로2동,6278,13628,6397,7231,13501,6345,7156,127,52,75
"합계",용산구,효창동,4687,10626,4975,5651,10464,4907,5557,162,68,94
"합계",용산구,용문동,5274,11269,5310,5959,11157,5267,5890,112,43,69
"합계",용산구,이촌1동,9097,25469,11981,13488,24924,11683,13241,545,298,247
"합계",용산구,이촌2동,3575,7779,3621,4158,7718,3595,4123,61,26,35
"합계",용산구,이태원1동,3420,7672,4067,3605,6060,3024,3036,1612,1043,569
"합계",용산구,이태원2동,4781,10010,4807,5203,8492,4052,4440,1518,755,763
"합계",용산구,서빙고동,5101,13198,6369,6829,12488,6004,6484,710,365,345
"합계",용산구,보광동,4130,8224,4301,3923,7245,3629,3616,979,672,307
"합계",용산구,청파동,11160,19339,8827,10512,18621,8618,10003,718,209,509
"합계",용산구,원효로1동,9354,17783,8284,9499,17036,7887,9149,747,397,350
"합계",용산구,한강로동,11231,22685,10857,11828,20938,9933,11005,1747,924,823
"합계",용산구,한남동,7200,16056,7714,8342,14170,6684,7486,1886,1030,856
"합계",성동구,소계,132248,281874,135930,145944,274287,132769,141518,7587,3161,4426
"합계",성동구,왕십리2동,7392,16385,7810,8575,15982,7649,8333,403,161,242
"합계",성동구,마장동,10792,22003,10755,11248,21360,10505,10855,643,250,393
"합계",성동구,사근동,8273,14243,7071,7172,12025,6281,5744,2218,790,1428
"합계",성동구,행당1동,6506,14046,6651,7395,13747,6555,7192,299,96,203
"합계",성동구,행당2동,9187,22720,10587,12133,22621,10552,12069,99,35,64
"합계",성동구,응봉동,5908,14807,7023,7784,14729,6986,7743,78,37,41
"합계",성동구,금호1가동,6437,14702,6966,7736,14598,6916,7682,104,50,54
"합계",성동구,금호4가동,6401,14232,6709,7523,14077,6633,7444,155,76,79
"합계",성동구,성수1가1동,7393,15517,7691,7826,15216,7536,7680,301,155,146
"합계",성동구,성수1가2동,5833,11956,5807,6149,11727,5690,6037,229,117,112
"합계",성동구,성수2가1동,7510,14649,7561,7088,14199,7351,6848,450,210,240
"합계",성동구,성수2가3동,5028,9936,4937,4999,9682,4810,4872,254,127,127
"합계",성동구,송정동,5254,9929,5192,4737,9485,4970,4515,444,222,222
"합계",성동구,용답동,7840,13087,6639,6448,12098,6228,5870,989,411,578
"합계",성동구,왕십리도선동,12137,26580,12459,14121,26105,12267,13838,475,192,283
"합계",성동구,금호2.3가동,9628,21505,10214,11291,21323,10135,11188,182,79,103
"합계",성동구,옥수동,10729,25577,11858,13719,25313,11705,13608,264,153,111
"합계",광진구,소계,170110,349171,166341,182830,332571,159576,172995,16600,6765,9835
"합계",광진구,화양동,18096,27826,12444,15382,22996,10851,12145,4830,1593,3237
"합계",광진구,군자동,11245,21482,10462,11020,18748,9218,9530,2734,1244,1490
"합계",광진구,중곡1동,8686,15627,7408,8219,15149,7198,7951,478,210,268
"합계",광진구,중곡2동,10561,20562,9642,10920,20205,9505,10700,357,137,220
"합계",광진구,중곡3동,8473,15676,7710,7966,15365,7592,7773,311,118,193
"합계",광진구,중곡4동,12996,27735,13474,14261,27301,13301,14000,434,173,261
"합계",광진구,능동,6454,11389,5252,6137,10936,5023,5913,453,229,224
"합계",광진구,구의1동,13186,23676,11197,12479,22971,10915,12056,705,282,423
"합계",광진구,구의2동,11474,25962,12328,13634,25336,12050,13286,626,278,348
"합계",광진구,구의3동,12061,27989,13159,14830,27752,13057,14695,237,102,135
